uri,jazz,rb,rock,country,dance,hh,classical,pop,ed,speed,vol,valence,instru
1upQiytDIEZfl9ItruoXuC,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07,0.07,0.6,1.0
5xfYZuMVGuyh9L0LcVWjzE,0.0,0.0,0.91,0.34,0.0,0.0,0.0,0.0,0.0,0.38,0.88,0.25,0.44
14EXZEog1hW97d6yz8ejih,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.94,0.0,0.0
1y8EEqXNbi7LtBpPLMPRui,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.05442622950819671,0.6143406593406594,0.9298395721925132,0.025906735751295335,0.0
3ZsexY07D4t4HRq7ogeSAS,0.0,0.0,0.72,0.0,0.28,0.0,0.0,0.59,0.0,0.83,0.9199999999999999,0.66,0.0
1bRjwdtScY2eMe9uMmsOkG,0.0,0.83,0.0,0.0,0.15,0.78,0.0,0.66,0.0,0.84,0.7,0.53,0.0
3fnqNxjN7o0tJe7zOQZV68,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.85,0.06,0.0
46LXErxjs0JgFiaUshrSBI,0.08,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.43999999999999995,0.68,0.27
5Wwr2S7QZTR5PVJn6jhgdk,0.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.68,0.7200000000000001,0.20000000000000004
6UelLqGlWMcVH1E5c4H7lY,0.20999999999999996,0.59,0.21,0.0,0.1,0.0,0.0,0.76,0.0,0.55,0.68,0.82,0.09
09iYuaPCCgMDGb2vprvzp5,0.0,0.0,0.18,0.0,0.4331578947368421,0.21,0.0,0.6908139534883722,0.18942857142857145,0.7197076023391814,0.8404347826086956,0.335207100591716,0.10885245901639344
5f5j72fj7bZkfqSdeSWLyf,0.0,0.29,0.6,0.21999999999999997,0.0,0.0,0.0,0.0,0.0,0.16,0.22,0.6,0.32
6xDpjffkQ4daA6AiR7F15m,0.0,0.0,1.0,0.0,0.0,0.66,0.0,0.0,0.0,0.5500000000000002,0.87,0.0,0.16
3Be7CLdHZpyzsVijme39cW,0.0,0.16955882352941176,0.0,0.0,0.4341447368421053,0.0,0.0,0.9212371134020618,0.455,0.5414772727272728,0.6272727272727273,0.4478787878787879,0.14818681318681318
4SFBV7SRNG2e2kyL1F6kjU,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.21,0.27,0.62,1.0
4bPQs0PHn4xbipzdPfn6du,0.0,0.0,0.84,0.0,0.0,0.0,0.0,0.75,0.0,0.5,0.66,0.27,0.0
2wOlZrHUpRP9hQbqbV9Ae5,1.0,0.14887700534759357,0.005,0.0,0.0,0.0,0.41437500000000005,0.0,0.0,0.1537837837837838,0.17596774193548387,0.6481865284974092,1.0
1A6rWsVB4JNfsvVcAN2FdY,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.38,0.36,0.4,1.0
1dsVIoiV96Goqv1jGbJySI,0.24,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7,0.25,0.6,1.0
5UAWb4S8wXDLaoowdYs6ln,0.7143478260869566,0.8141860465116278,0.7871727748691097,0.035,0.075,0.06,0.08,0.09,0.09,0.33229166666666676,0.5842105263157895,0.42702702702702705,1.0
2k0HXdTDW28JFAaS8TaHeA,0.03,0.7277777777777777,0.035,0.0,0.04,0.35,0.065,0.09648648648648647,0.06759036144578313,0.40204081632653066,0.5783673469387755,0.5908426966292134,0.16698412698412698
0CmQgwV3Bmzh9nZb9TNVEI,0.07,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.59,0.74,0.09
0XHv1jT5QsTbemGea5q8Ek,1.0,0.31,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.12,0.36,0.74,1.0
69CQe4ekUZ7txcSfEXYFW9,0.0,0.12,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6,0.45,0.0,0.0
6UaocmOO1bO7YwfHv9Kqcy,0.76,0.59,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.29,0.33,0.25,0.14
57U2smIiC2ch7MbuJMaWIY,0.34,0.71,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.63,0.6399999999999999,0.15
1mVwiaFemt52tNFQJLOpN2,0.26,0.63,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.74,0.32999999999999996,0.08
2VOpnswDATUVkyLA4FNO2C,0.4750000000000001,0.5779629629629629,0.09202247191011236,0.0,0.5,0.09888888888888887,0.0,0.0,0.0,0.6563157894736843,0.6143455497382199,0.6232432432432432,0.7933333333333332
222MT5t80Pf0C1ItJ79sCF,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.92,0.07,0.3
4gGZc6MMYavM5KFS2zwOVL,0.0,0.1965957446808511,0.0,0.0,0.5626315789473686,0.12235602094240838,0.0,0.7807103825136612,0.20248677248677246,0.670421052631579,1.0,0.6432972972972973,0.03
2dh6Pnl5egc1FrQS6EsW4n,0.0,0.0,0.0,0.0,0.8394303797468355,0.0,0.0,0.9625668449197861,0.11755244755244756,0.8241477272727272,0.7335714285714287,0.6057232704402515,0.0
6dko4bgiL9XsKjUiqYN5V4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.35,0.18,0.73,0.39
5MxNLUsfh7uzROypsoO5qe,0.0,0.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.24,0.22,0.4
2H6txWVNy08LZYGmkHU511,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.34,0.0,0.66,0.91,0.07,0.19
